date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
09-02-2020 11.42,BowlerDerek,,0,0,1,"Aside from all this count madness, great to see John Bowman back on TV. #GE20 ##ge2020",,,#GE20 #ge2020,1226471409964270000.00,https://twitter.com/BowlerDerek/status/1226471409964273665
09-02-2020 11.42,godanicusmusic,,0,0,3,#GE20 #GE2020 Joan Burton could lose her seat. This is getting better.,,,#GE20 #GE2020,1226471377923920000.00,https://twitter.com/godanicusmusic/status/1226471377923923969
09-02-2020 11.41,byrneconor,,0,1,2,Some amount of tricolours being desecrated today #GE20 #GE2020,,,#GE20 #GE2020,1226471114475550000.00,https://twitter.com/byrneconor/status/1226471114475556865
09-02-2020 11.40,Luhluhleopold,,0,0,0,"Let's put this to bed, how is it pronounced? #GE20 #GE2020",,,#GE20 #GE2020,1226471008963580000.00,https://twitter.com/Luhluhleopold/status/1226471008963584001
09-02-2020 11.40,KarlGill,,1,0,1,"In City West count centre. @RENUAIreland candidate having the best of chats with the fascist National Party members ""God bless you both"" #GE2020 #GE20",,#NAME?,#GE2020 #GE20,1226470928667810000.00,https://twitter.com/KarlGill/status/1226470928667815936
09-02-2020 11.38,firminoslefteye,,0,0,1,#GE20 #ge2020 #GeneralElection2020 #GeneralElection Could be a good day yet,,,#GE20 #ge2020 #GeneralElection2020 #GeneralElection,1226470518028710000.00,https://twitter.com/firminoslefteye/status/1226470518028718080
09-02-2020 11.38,francismccloy,,1,3,7,"Zappone, Doherty and O'Connell all gone? That's too good to be true. Yes I know it'll be short lived joy when we see the next ridiculous liberal gov but I'll take anything. #GE20 #GE2020 ",,,#GE20 #GE2020,1226470423572960000.00,https://twitter.com/francismccloy/status/1226470423572963328
09-02-2020 11.38,BrianFlanagan1,,0,0,0,@Doctor_J_ Excellent thread - you mastered threading! I You explain why @FineGael and @fiannafailparty have lost confidence of electorate in relation to health service. Need for big bang reform &amp; new approaches with no hiding places for vested interests. @HSE #GE2020 #GE20,,#NAME?,#GE2020 #GE20,1226470421480030000.00,https://twitter.com/BrianFlanagan1/status/1226470421480034304
09-02-2020 11.38,Kiddo1971,davidmcw,0,0,0,"I suspect people are disgruntled and similar to #Brexit and #Trump, they see #SinnFein as an ‘alternative’. #GE20 #GE2020 #IrelandElection #SF",,,#Brexit #Trump #SinnFein #GE20 #GE2020 #IrelandElection #SF,1226470336658640000.00,https://twitter.com/Kiddo1971/status/1226470336658649089
09-02-2020 11.37,BowlerDerek,,0,0,0,Minutes to midnight #ge20 #GE2020,,,#ge20 #GE2020,1226470286326920000.00,https://twitter.com/BowlerDerek/status/1226470286326927362
09-02-2020 11.37,DundalksNews,,0,1,4,Updated counts after 80 boxes #GE20 #GE2020 #GeneralElection2020 #Louth 1. Munster 2. OMurchu R 3. O’Dowd 4. Breathnach 5. Fitzpatrick,,,#GE20 #GE2020 #GeneralElection2020 #Louth,1226470234300850000.00,https://twitter.com/DundalksNews/status/1226470234300854272
09-02-2020 11.36,Bubblecork,Jennifer_Bray,1,0,0,"This is what you voted for, I give you Sinn Féin #GE20 #GE2020 ",,,#GE20 #GE2020,1226469972060310000.00,https://twitter.com/Bubblecork/status/1226469972060311552
09-02-2020 11.35,AlanLoughnane1,,0,0,5,Paul Gogarty polling well in the early tallies in Dublin Mid-West #GE20 #GE2020 ,,,#GE20 #GE2020,1226469645886080000.00,https://twitter.com/AlanLoughnane1/status/1226469645886087168
09-02-2020 11.34,KarmaAndEffect_,,0,0,1,Election 2020 | The Irish Times #ge2020 #ge20 ,,,#ge2020 #ge20,1226469524628790000.00,https://twitter.com/KarmaAndEffect_/status/1226469524628791297
09-02-2020 11.33,DundalksNews,,0,3,3,Updated counts after 67 boxes #GE20 #GE2020 #GeneralElection2020 #Louth 1. Munster 2. OMurchu R 3. O’Dowd 4. Nash 5. Fitzpatrick,,,#GE20 #GE2020 #GeneralElection2020 #Louth,1226469043244280000.00,https://twitter.com/DundalksNews/status/1226469043244281858
09-02-2020 11.32,thomasoc2012,,0,0,3,My god the people of #DublinBaySouth must live in a parallel universe. Unsurprising in one way but utterly unbelievable in another. #GE20 #GE2020,,,#DublinBaySouth #GE20 #GE2020,1226468950634040000.00,https://twitter.com/thomasoc2012/status/1226468950634049537
09-02-2020 11.29,SouthernStarIRL,,0,0,3,Party sources here in Mallow are saying Sinn Féin made a big mistake in not fielding a candidate in Cork North West and that they would have polled very well if they had #GE2020 #SSGE2020 #GE20 #CorkNW #CorkNorthWest #westcork,,,#GE2020 #SSGE2020 #GE20 #CorkNW #CorkNorthWest #westcork,1226468247773560000.00,https://twitter.com/SouthernStarIRL/status/1226468247773569024
09-02-2020 11.26,SouthernStarIRL,,0,1,4,"It's looking like no change in Cork North West with 87 % all tallies counted with Moynihan A (FF) 8,290, Creed (FG) 7,419, Moynihan M (FF) 7,305, O'Shea (FG) 6,100 #GE2020 #GE20 #SSGE202 #CorkNorthWest #CorkNW #westcork",,,#GE2020 #GE20 #SSGE202 #CorkNorthWest #CorkNW #westcork,1226467320048020000.00,https://twitter.com/SouthernStarIRL/status/1226467320048029697
09-02-2020 11.22,blowincat,,0,0,0,"Talking to a friend last night he was looking forward to some high profile defeats (the divil!) Based on the Twitter ‘echo chamber’ (and probably wishful thinking on the Tweeters parts) supposedly Varadkar, Harris, Joan Burton, Simon Coveney #GE2020 #Ge20",,,#GE2020 #Ge20,1226466275599240000.00,https://twitter.com/blowincat/status/1226466275599245312
09-02-2020 11.19,DundalksNews,,0,0,2,"Counting update in #Louth - 67% boxes open at 11:15. #GE20 #GE2020 Update @PFitzpatrickTD climbing up the table, currently in 5th position of 1st preference votes",,#NAME?,#Louth #GE20 #GE2020,1226465592292580000.00,https://twitter.com/DundalksNews/status/1226465592292585473
09-02-2020 11.17,imCommunityMgr,RTEdubCENTRAL,1,0,5,"I have all my limbs crossed for @1GaryGannon. If we have @MaryLouMcDonald, @neasa_neasa and @1GaryGannon representing us I’d be delighted!! #VoteLeftTransferLeft #GeneralElection2020 #GE20 #ge2020 ",,@1GaryGannon @MaryLouMcDonald @neasa_neasa @1GaryGannon,#VoteLeftTransferLeft #GeneralElection2020 #GE20 #ge2020,1226465182081330000.00,https://twitter.com/imCommunityMgr/status/1226465182081331202
09-02-2020 11.16,51Batman,,0,0,0,"Ireland's rising, with Sinn Fein now an establishment party, one that isn't free, fair and open who will Ireland's youth vote for in the next election? A new or an existing party? #GeneralElection2020 #GE2020 #GE20 #Ireland #Dublin",,,#GeneralElection2020 #GE2020 #GE20 #Ireland #Dublin,1226464824449730000.00,https://twitter.com/51Batman/status/1226464824449736704
09-02-2020 11.14,theliamcredmond,,1,0,1,"Voter turnout from my box in Arklow Town yesterday. Overall turnout was 76%, but the rugby match and #StormCíara had major influence #GeneralElection2020 #GE2020 #GE20 ",,,#StormC #GeneralElection2020 #GE2020 #GE20,1226464454105350000.00,https://twitter.com/theliamcredmond/status/1226464454105354240
09-02-2020 11.11,godanicusmusic,,0,0,0,"#GE20 #GE2020 how the fuck could anyone vote FF... after destroying our country on numerous occasions. Sinn fein is not a protest vote, it's a vote for real change. The electorate is sick of the status quo.",,,#GE20 #GE2020,1226463605811490000.00,https://twitter.com/godanicusmusic/status/1226463605811490816
09-02-2020 11.10,SouthernStarIRL,,0,0,1,Great to see students from the local Davis College opening the boxes earlier at Mallow GAA complex on a miserable Sunday morning! Well done to all! #GE2020 #SSGE2020 #GE20 #CorkNW #Corknorthwest #westcork,,,#GE2020 #SSGE2020 #GE20 #CorkNW #Corknorthwest #westcork,1226463374541830000.00,https://twitter.com/SouthernStarIRL/status/1226463374541836288
09-02-2020 11.08,Caramcq,,1,2,5,#GE20 #GE2020 ,,,#GE20 #GE2020,1226462885003610000.00,https://twitter.com/Caramcq/status/1226462885003616256
09-02-2020 11.07,blowincat,,1,0,5,"In a way Tally % mean nothing in most constituencies, given geographical divides, bases etc. Hard numbers are yer only man (or woman)! #GE20 #GE2020",,,#GE20 #GE2020,1226462647077550000.00,https://twitter.com/blowincat/status/1226462647077556224
09-02-2020 11.05,AnnaMBlus,anniewestdotcom,0,0,2,*The* coverage of #GE20 in Ireland #GE2020 ,,,#GE20 #GE2020,1226462194256290000.00,https://twitter.com/AnnaMBlus/status/1226462194256293888
09-02-2020 11.05,Tcurran0,SeanDefoe,0,0,1,Someone backed by Michael O'Leary didn't exactly get to where they were expecting?! 🤔🤔 #GE20 #GE2020 ,,,#GE20 #GE2020,1226462041428380000.00,https://twitter.com/Tcurran0/status/1226462041428385792
09-02-2020 11.04,uns0ciable1,,0,0,2,Shane Ross Toast? #GE20 #GE2020 ,,,#GE20 #GE2020,1226461810573930000.00,https://twitter.com/uns0ciable1/status/1226461810573938688
09-02-2020 11.04,DundalksNews,,0,0,1,Updated counts after 59 boxes from @DundalkDemocrat #GE20 #GE2020 #GeneralElection2020 #Louth,,#NAME?,#GE20 #GE2020 #GeneralElection2020 #Louth,1226461810502610000.00,https://twitter.com/DundalksNews/status/1226461810502619136
09-02-2020 10.56,Tcurran0,CTribune,0,0,1,Dark day for some politicians in #GalwayWest today.... #GE20 #GE2020 ,,,#GalwayWest #GE20 #GE2020,1226459931123100000.00,https://twitter.com/Tcurran0/status/1226459931123101698
