date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
29-02-2020 8.12,chrissmith_re,EOBroin,1,1,3,"Definitely needed. Something sinister there, looks figures were #rigged in the run in to the election, dreadful to think homelessness could be used in an attempt to thwart @FineGael &amp; @MurphyEoghan then apparent meltdown, subsequently accomplished. #GE20 #GE2020",,#NAME?,#rigged #GE20 #GE2020,1233666273915040000.00,https://twitter.com/chrissmith_re/status/1233666273915043840
27-02-2020 23.31,PanelPowerIrl,COVID19Update,0,0,2,A woman flew in to Dublin & on to Belfast via train diseased with #COVID19. 16th UK patient to date =&gt;UK-COVID-1916 Irish health Minister Simon 'Pontius Pilate' Harris is busy washing his hands of the matter in a bunker in Athlone. #TonightVMTV #Coronavirus #GE2020🇮🇪 #GE20🇮🇪 ,,,#COVID19 #TonightVMTV #Coronavirus #GE2020 #GE20,1233172803286850000.00,https://twitter.com/PanelPowerIrl/status/1233172803286859783
27-02-2020 20.52,PanelPowerIrl,caulmick,0,1,1,With such brainfarts it looks like Leo is displaying the classic signs of #COVID19 infection. He &amp; everyone associated with #Fg should be indefinitely isolated. #Coronavirus #GE2020 #GE20🇮🇪 ,,,#COVID19 #Fg #Coronavirus #GE2020 #GE20,1233132896858310000.00,https://twitter.com/PanelPowerIrl/status/1233132896858316800
27-02-2020 19.41,PanelPowerIrl,WhispersNewsLTD,0,0,0,"Once-Taoiseach Leo Varruca(#FG) has slammed social media keyboard warriors for bullying the poor defensible mutating COVID-19 virus, labelling that behaviour somehow or other as being anti-semitic to #LookForward to.🤣😷😂 #GE20🇮🇪 #GE2020 #COVID19 #Coronavirus",,,#FG #LookForward #GE20 #GE2020 #COVID19 #Coronavirus,1233115076174970000.00,https://twitter.com/PanelPowerIrl/status/1233115076174974982
27-02-2020 16.35,PanelPowerIrl,ronanduffy_,0,0,0,"Let Simple Simon check all the incoming flights so.🛬🇮🇪 ""Don't look back at our fuck ups. #LookForward instead of making it awkward for us to fuck up again in the future.""-Simon H-Block #FG💩 #FF💩 #TrustUs🤣 #SimonHarris🤡 #DrewHarris💩 #GE20🇮🇪 #GE2020 #COVID19 #Coronavirus😷",,,#LookForward #FG #FF #TrustUs #SimonHarris #DrewHarris #GE20 #GE2020 #COVID19 #Coronavirus,1233068254316330000.00,https://twitter.com/PanelPowerIrl/status/1233068254316331009
27-02-2020 14.19,PanelPowerIrl,,0,0,0,"Here's a little known life hack for you, but promise you won't tell @FineGael or @fiannafailparty about this. Duct tape is actually a better defence against COVID-19 than those useless medical masks.😉 #COVID19 #Coronavirus #GE2020 #GE20🇮🇪 https://twitter.com/Independent_ie/status/1233025255624577024",,#NAME?,#COVID19 #Coronavirus #GE2020 #GE20,1233034029739450000.00,https://twitter.com/PanelPowerIrl/status/1233034029739454464
25-02-2020 22.54,andyboconnell,,1,0,1,#GenElection2 Reality #GeneralElection #Ge2020 #ge20 #GE20 @sinnfeinireland #sinnfeinsurge #sinnfeinrallies #SinnFeinAbu #SinnFein,,#NAME?,#GenElection2 #GeneralElection #Ge2020 #ge20 #GE20 #sinnfeinsurge #sinnfeinrallies #SinnFeinAbu #SinnFein,1232438771167050000.00,https://twitter.com/andyboconnell/status/1232438771167059968
25-02-2020 8.00,RebelTVIreland,,0,39,93,Leo Varadkar lives in a strange little world. Where the rich and powerful are bullied by the oppressed. A world of pretend panic. We won't be fooled. We still know the real bullies. We don't want the landlord parties in power. Not anymore. #ge20 #GE2020 #ireland #housing,,,#ge20 #GE2020 #ireland #housing,1232213852957350000.00,https://twitter.com/RebelTVIreland/status/1232213852957356034
24-02-2020 20.41,garethmurphyIE,,0,0,0,Is the carry on by FG/FF about these SF meetings putting you off them even further?? #ge2020 #ge20,,,#ge2020 #ge20,1232043000903140000.00,https://twitter.com/garethmurphyIE/status/1232043000903143430
24-02-2020 19.01,Tony_Cghn,UbuntuLad,0,0,0,So will the Fianna Fail / Fine Gael party now go into government with these Green Nazis? #GE2020 #GE20 #cblive #TonightVMTV,,,#GE2020 #GE20 #cblive #TonightVMTV,1232017673527140000.00,https://twitter.com/Tony_Cghn/status/1232017673527144448
24-02-2020 11.11,RebelTVIreland,,0,4,4,Fine Fox and Fianna Fox are in discussions about running the chicken coop. Surely we can trust these foxes with the chickens? If you don't agree then join the protest called at 1pm on Sat March 7th from Parnell Sq. #ge20 #GE2020 #ireland #housing #homelessness,,,#ge20 #GE2020 #ireland #housing #homelessness,1231899466908780000.00,https://twitter.com/RebelTVIreland/status/1231899466908786689
23-02-2020 11.43,Tony_Cghn,,0,1,2,#GE2020 #GE20 #twip #StopTheStichUp https://www.facebook.com/events/189197212360012/,,,#GE2020 #GE20 #twip #StopTheStichUp,1231545176117690000.00,https://twitter.com/Tony_Cghn/status/1231545176117698560
23-02-2020 10.16,Ocionnaith,,4,3,20,"When FF, SF and FG ask them for coalition help, the smaller parties of @greenparty_ie @SocDems @labour @solidarityie @pb4p and Inds will have one question to ask: Will it be as kingmaker, or mudguard? My analysis for @rtenews @rtepolitics #GE2020 #GE20 ",,#NAME?,#GE2020 #GE20,1231523243913360000.00,https://twitter.com/Ocionnaith/status/1231523243913367552
23-02-2020 10.06,RSMolloy,danobrien20,0,5,4,@Mickcliff’s column on issues around @sinnfeinireland’s commitment to liberal democratic values and the rule of law is a must read. #GE20 #GE2020 @irishexaminer @danobrien20,,#NAME?,#GE20 #GE2020,1231520729872710000.00,https://twitter.com/RSMolloy/status/1231520729872715776
22-02-2020 19.12,Now4NI,Michael_O_Regan,0,0,0,Here's the solution: make @EamonRyan taoiseach as a balance between the two cheeks of the same arse. #GE20 #GE2020 #GE202 #GE20202,,#NAME?,#GE20 #GE2020 #GE202 #GE20202,1231295643651590000.00,https://twitter.com/Now4NI/status/1231295643651596289
20-02-2020 22.33,KeepinItSureal,rtenews,0,2,1,I think the commentary saying “Niice” at 0:42 and giggling ten seconds later perfectly encapsulates how we all feel tonight. #Cheerio #LaterLeo #LeoVaradkar #Ireland #Dail #FG #GE2020 #NotMyTaoiseach #GE20 #FineGael #Homeless #HSE #Society,,,#Cheerio #LaterLeo #LeoVaradkar #Ireland #Dail #FG #GE2020 #NotMyTaoiseach #GE20 #FineGael #Homeless #HSE #Society,1230621505312230000.00,https://twitter.com/KeepinItSureal/status/1230621505312231431
20-02-2020 12.01,thesecondgoing,,0,0,1,Funny thing is that #leovaradkar heading to the President to resign is the closest He's ever came to being elected. #GE2020 #GE20 #Dail,,,#leovaradkar #GE2020 #GE20 #Dail,1230462510635140000.00,https://twitter.com/thesecondgoing/status/1230462510635143168
20-02-2020 9.11,Ocionnaith,morningireland,0,0,9,BREAKING: Government formation talks break down over unreasonable bed time at 8pm and five days a week of school demands. More on this as we get it... @rtenews @rtepolitics #GE2020 #GE20 ,,#NAME?,#GE2020 #GE20,1230419706001180000.00,https://twitter.com/Ocionnaith/status/1230419706001182720
20-02-2020 8.40,RebelTVIreland,,5,15,38,Leo Varadkar resigns today. The vote for new Taoiseach happens today so Varadkar is gone. He must go to the President and resign. A corporate puppet. A pet of vulture funds. A snob Thatcherite. A revisionist who hates revolutionary heroes of past. #ge20 #GE2020 #ireland,,,#ge20 #GE2020 #ireland,1230411917933640000.00,https://twitter.com/RebelTVIreland/status/1230411917933645824
20-02-2020 8.27,Ocionnaith,,3,2,2,"@fiannafailparty deputy leader @daracalleary tells @morningireland ""we are a long way off"" a government being formed. Asked about the risk of going into gov with @FineGael or @sinnfeinireland he says ""there is no risk of us being devoured"". @rtenews @rtepolitics #GE2020 #GE20",,#NAME?,#GE2020 #GE20,1230408505733020000.00,https://twitter.com/Ocionnaith/status/1230408505733021699
20-02-2020 7.50,Ocionnaith,,1,1,0,@FineGael TD and acting finance minister @Paschald tells RTE's @morningireland his party will meet the @greenparty_ie next week if asked. @rtepolitics @rtenews #GE2020 #GE20,,#NAME?,#GE2020 #GE20,1230399318080830000.00,https://twitter.com/Ocionnaith/status/1230399318080839681
19-02-2020 12.21,thesecondgoing,TippSaysN0,0,0,2,#AlanKelly in a nutshell. #GE2020 #GE20 #GreenParty #Twip #todaysor #TonightVMTV,,,#AlanKelly #GE2020 #GE20 #GreenParty #Twip #todaysor #TonightVMTV,1230105229426860000.00,https://twitter.com/thesecondgoing/status/1230105229426860032
19-02-2020 10.54,RebelTVIreland,,0,5,5,222 people murdered by landlord parties. Add mental stress people suffering overcrowding. People who can't pay rent or live fear eviction mortgage arrears. No government w Fianna Fáil or Fine Gael will solve housing crisis. #ge20 #GE2020 #ireland #housing #homelessness #rent,,,#ge20 #GE2020 #ireland #housing #homelessness #rent,1230083234421190000.00,https://twitter.com/RebelTVIreland/status/1230083234421190662
18-02-2020 13.53,RebelTVIreland,,0,5,12,"Top ten people in Ireland have €53 billion. Up 20 billion in ten years. Meanwhile 700,000 of us live in poverty. Why is this reported as two different stories? It's not. #ge20 #GE2020 #ireland #poverty #wealth #taxtherich",,,#ge20 #GE2020 #ireland #poverty #wealth #taxtherich,1229765927484430000.00,https://twitter.com/RebelTVIreland/status/1229765927484436480
18-02-2020 0.38,thesecondgoing,wall_pit,0,0,4,#Ff and #Fg have long since had an agreement to destroy all other-smaller parties. Monopoly. #GE2020 #GE20 #cblive #Twip,,,#Ff #Fg #GE2020 #GE20 #cblive #Twip,1229565779303170000.00,https://twitter.com/thesecondgoing/status/1229565779303174144
17-02-2020 20.37,Nigelgkelly,irishexaminer,0,0,0,20 hours in the count centre last week - worthwhile to get some work printed in the nationals 📸📰 #GE2020 #GE20 #waterford,,,#GE2020 #GE20 #waterford,1229505138525640000.00,https://twitter.com/Nigelgkelly/status/1229505138525642757
17-02-2020 20.03,thesecondgoing,,0,0,1,#IrishGov press release - The beatings will continue until morale improves -. #GE2020 #leovaradkar #MichealMartin #GE20 #SinnFein #TonightVMTV #SixOne. WE VOTED FOR CHANGE!!! NOT #FFG!!! ✌️,,,#IrishGov #GE2020 #leovaradkar #MichealMartin #GE20 #SinnFein #TonightVMTV #SixOne #FFG,1229496594338380000.00,https://twitter.com/thesecondgoing/status/1229496594338385921
17-02-2020 11.17,richwtalbot,,0,0,0,Your #Seanad election guide: How you can (or why you can't) vote for the next batch of senators #GE20 #GE2020 https://buff.ly/2UZGAzA,,,#Seanad #GE20 #GE2020,1229364362659400000.00,https://twitter.com/richwtalbot/status/1229364362659409921
16-02-2020 19.15,SociusCriminis,,0,0,0,Has the continuity FF party been formed yet? #GE2020 #GE20,,,#GE2020 #GE20,1229122067439800000.00,https://twitter.com/SociusCriminis/status/1229122067439800326
16-02-2020 18.29,ConsumingIssues,,1,0,0,"If we finally have a grand coalition of @fiannafailparty &amp; @FineGael it will make @sinnfeinireland look like martyrs on the opposition benches, despite 3/4 of the electorate not having voted Sinn Féin. Fianna Fáil will be punished more for this in the next election. #GE2020 #ge20",,#NAME?,#GE2020 #ge20,1229110461548960000.00,https://twitter.com/ConsumingIssues/status/1229110461548965888
16-02-2020 15.11,Ocionnaith,,1,3,7,"* in politics, you only hug someone to know how wide to dig the grave * history is written by the winner, but politics is written by whoever controls the narrative * people and nations only do what is sensible when they have exhausted all other alternatives #GE2020 #GE20",,,#GE2020 #GE20,1229060839296130000.00,https://twitter.com/Ocionnaith/status/1229060839296131073
16-02-2020 15.11,Ocionnaith,,1,0,7,Confused about post-#GE2020 #GE20 talks tactics? Join the club (if not any coherent coalition). I tried to make sense of it for @rtenews @rtepolitics (written/audio versions👇). Also smuggled in my fav political lessons. See next tweet. http://www.rte.ie/news/2020/0215/1115552-fiachra-o-cionnaith-analysis/ via @RTENewsNow,,#NAME?,#GE2020 #GE20,1229060688758350000.00,https://twitter.com/Ocionnaith/status/1229060688758353921
16-02-2020 14.15,PanelPowerIrl,EOBroin,0,0,2,I hope the 4th Viscount Rothermere won't be upset that his pet parrot @leeofthemail just got owned by Eoin.🤣 #SF #GE2020 #GE20🇮🇪 ,,#NAME?,#SF #GE2020 #GE20,1229046546391580000.00,https://twitter.com/PanelPowerIrl/status/1229046546391588865
16-02-2020 14.07,RebelTVIreland,,0,5,11,"We don't want a so called 'grand coalition' of Fianna Fail, Fine Gael and the Greens. We need demand all left parties and unions begin organising a massive protest to shut country down. #ge20 #GE2020 #ireland #pension #dennisstorm",,,#ge20 #GE2020 #ireland #pension #dennisstorm,1229044750415690000.00,https://twitter.com/RebelTVIreland/status/1229044750415691776
16-02-2020 13.19,Ocionnaith,,2,1,6,"@greenparty_ie leader @EamonRyan tells @thisweekrte his party wants day-long ""exploratory, bilateral talks"" with all parties. He says talks must focus on climate &amp; confirms Greens will stay out of gov if others do not meet its policies. #GE2020 #GE20 @rtenews @rtepolitics",,#NAME?,#GE2020 #GE20,1229032529212080000.00,https://twitter.com/Ocionnaith/status/1229032529212080133
16-02-2020 12.47,PanelPowerIrl,,0,2,3,"My 2 cents worth(less). The ECB got rid of the 1c & 2c coins because they are useless small change. A coalition of #FF, #FG &amp; #Greens would equally be useless small change. #TheMaskSlips👺 #Coalitionology #GE2020 #GE20🇮🇪 #RIPDemocracy☠️",,,#FF #FG #Greens #TheMaskSlips #Coalitionology #GE2020 #GE20 #RIPDemocracy,1229024613813890000.00,https://twitter.com/PanelPowerIrl/status/1229024613813891072
16-02-2020 11.55,Ocionnaith,,3,7,23,"History is written by the winner, but politics is always written by shoever controls the narrative: My latest analysis on the #GE2020 #GE20 talks tactics for @rtenews @rtepolitics - complete with an audio version embedded a few pars in. http://www.rte.ie/news/2020/0215/1115552-fiachra-o-cionnaith-analysis/ via @RTENewsNow",,#NAME?,#GE2020 #GE20,1229011511672290000.00,https://twitter.com/Ocionnaith/status/1229011511672295425
16-02-2020 10.32,darren678ryan,,0,0,0,#SinnFein introduce new army uniform for #ireland army.... #terrorism becomes fashionable in #eire. #GE2020 #generalelection #ge20 #provos #uptheRA #Brexit #SundayBrunch,,,#SinnFein #ireland #terrorism #eire #GE2020 #generalelection #ge20 #provos #uptheRA #Brexit #SundayBrunch,1228990412645370000.00,https://twitter.com/darren678ryan/status/1228990412645376002
15-02-2020 20.45,Ocionnaith,,2,8,38,"Confused about #GE2020 #GE20, who is talking/not talking to whom, and why? Well, fret no more. I'll have a detailed analysis of the talks tactics game on the @rtenews @rtepolitics website on Sunday morning, with an audio version option as well. Give it a read/listen.",,#NAME?,#GE2020 #GE20,1228782281487240000.00,https://twitter.com/Ocionnaith/status/1228782281487245319
15-02-2020 20.39,BrendanHurley17,,0,0,1,"Was watching Auf Wiedersehen Pet on TV today. They were voting on which colour to paint their cabin. ""Everyone gets what nobody wants"" Sums up our election #GE2020 #Ge20 ",,,#GE2020 #Ge20,1228780858385030000.00,https://twitter.com/BrendanHurley17/status/1228780858385031174
15-02-2020 9.38,Olytico,,0,0,6,"#RTEPT (14,772) was the most used media hashtag, followed by #CBLive (14,132), and #TonightVMTV (5,311). @gavreilly was the most mentioned journalist (6,071). #GE2020 #GE20 #GeneralElection2020 #Togh2020 (7/7)",,#NAME?,#RTEPT #CBLive #TonightVMTV #GE2020 #GE20 #GeneralElection2020 #Togh2020,1228614601840960000.00,https://twitter.com/Olytico/status/1228614601840963584
15-02-2020 9.38,Olytico,,1,2,7,"Housing was the most mentioned topic (17,926), followed by Health (14,987), Homelessness (14,154), Climate (9,046), and Pensions (8,240). #GE2020 #GE20 #GeneralElection2020 #Togh2020 (6/7)",,,#GE2020 #GE20 #GeneralElection2020 #Togh2020,1228614599202700000.00,https://twitter.com/Olytico/status/1228614599202701314
15-02-2020 9.38,Olytico,,1,0,1,"#VoteForBetter remained the most used party hashtag throughout the campaign (5,791), followed by #WantGreenVoteGreen (5,037), #LookForward (2,768) and #AnIrelandforAll (2,709). #GE2020 #GE20 #GeneralElection2020 #Togh2020 (5/7)",,,#VoteForBetter #WantGreenVoteGreen #LookForward #AnIrelandforAll #GE2020 #GE20 #GeneralElection2020 #Togh2020,1228614596694560000.00,https://twitter.com/Olytico/status/1228614596694564870
15-02-2020 9.38,Olytico,,1,0,2,"Leo Varadkar (22,994 tweets) was the most talked about party leader, followed very closely by Mary Lou McDonald (19,391). Micheal Martin (6,388) was in third place, followed by Eamon Ryan (2,814) and Brendan Howlin (2,503). #GE2020 #GE20 #GeneralElection2020 #Togh2020 (4/7)",,,#GE2020 #GE20 #GeneralElection2020 #Togh2020,1228614594177920000.00,https://twitter.com/Olytico/status/1228614594177925121
15-02-2020 9.38,Olytico,,1,0,3,"29% of content during the campaign was original (120,345 tweets), the remaining 71% of content was retweets. #GE2020 was the most popular hashtag (363,187 tweets), followed by #GE20 (33,941), #GeneralElection2020 (16,647) and #Togh2020 (7,608). (2/7)",,,#GE2020 #GE20 #GeneralElection2020 #Togh2020,1228614578554220000.00,https://twitter.com/Olytico/status/1228614578554228737
15-02-2020 9.38,Olytico,,1,10,15,"417,299 tweets, from 37,735 accounts and a potential audience of nearly 17m. @olytico analysed how Ireland talked about #GE2020 during the campaign (14th Jan - 10th Feb 2020). Here's what we found #GE2020 #GE20 #GeneralElection2020 #Togh2020 (1/7)",,#NAME?,#GE2020 #GE2020 #GE20 #GeneralElection2020 #Togh2020,1228614568450100000.00,https://twitter.com/Olytico/status/1228614568450101249
15-02-2020 8.04,HNow33,,0,0,2,I'm going on Poster Patrol... Dublin North West still had Leo posters up yesterday #GetThemDown #GE20 #GE2020 Election posters need to be taken down by midnight tonight ,,,#GetThemDown #GE20 #GE2020,1228591002329520000.00,https://twitter.com/HNow33/status/1228591002329526272
14-02-2020 22.33,Tcurran0,,0,0,1,Can't wait to hear @daraobriain try to explain #GE20 #GE2020 on @TheLastLeg now....,,#NAME?,#GE20 #GE2020,1228447152118120000.00,https://twitter.com/Tcurran0/status/1228447152118124544
14-02-2020 22.08,PanelPowerIrl,CiaranCuffe,0,0,0,A Valentine's Day bukakke celebration with the Green party?😳 #GE20🇮🇪 #GE2020 ,,,#GE20 #GE2020,1228440933051560000.00,https://twitter.com/PanelPowerIrl/status/1228440933051568131
14-02-2020 22.00,Petra_C,,1,0,5,Abortion and the general election https://www.irishtimes.com/opinion/letters/abortion-and-the-general-election-1.4172915 #GE2020 #ge20,,,#GE2020 #ge20,1228438987884410000.00,https://twitter.com/Petra_C/status/1228438987884417025
14-02-2020 17.27,thesecondgoing,MallieDotCom,0,0,0,I have a feeling that #GE2020 #GE20 is only starting..... ,,,#GE2020 #GE20,1228370069245360000.00,https://twitter.com/thesecondgoing/status/1228370069245366272
14-02-2020 13.18,Ocionnaith,,0,2,6,"Current level of coalition and government formation talks after #GE2020 #GE20... Rural Independent @mattiemcgrathtd TD tells @RTENewsAtOne in response to a question about red lines on any conversation with @greenparty_ie: ""We don't want the wolves in Tipperary."" Agreed. 🐺",,#NAME?,#GE2020 #GE20,1228307433237460000.00,https://twitter.com/Ocionnaith/status/1228307433237467143
14-02-2020 11.57,PanelPowerIrl,,0,1,2,If a so-called grand coalition is formed does the process for a vote of no confidence in Simon Harris automatically resume? #NoConfidence #SimonHarris #GE20🇮🇪 #GE2020,,,#NoConfidence #SimonHarris #GE20 #GE2020,1228287154176050000.00,https://twitter.com/PanelPowerIrl/status/1228287154176057344
14-02-2020 11.00,MunsterSir,TonightVMTV,0,0,0,Who cares who's in power. Perhaps Dumpty should criticise the government in power back then for allowing things to get out of hand in every respect. The desperation of the people is tenable.NOT for how good Sinn Fein are but for how bad the options are. #GE2020 #ge20,,,#GE2020 #ge20,1228272752685190000.00,https://twitter.com/MunsterSir/status/1228272752685199360
14-02-2020 6.42,MunsterSir,,0,0,0,This whole election thing was a load of codswallop. They were going on like racism is the new black. #GE2020 #GeneralElection2020 #GE20,,,#GE2020 #GeneralElection2020 #GE20,1228207771989880000.00,https://twitter.com/MunsterSir/status/1228207771989889024
14-02-2020 1.48,Ocionnaith,liseinthecity,1,0,0,Could do worse @JulianSmithUK #GE2020 #GE20 ,,#NAME?,#GE2020 #GE20,1228133814683210000.00,https://twitter.com/Ocionnaith/status/1228133814683213824
13-02-2020 22.31,Tcurran0,,0,0,0,We now check in on #GovernmentFormation talks following #GE20 #GE2020 and in advance of #GE20.1 ,,,#GovernmentFormation #GE20 #GE2020 #GE20,1228084279629970000.00,https://twitter.com/Tcurran0/status/1228084279629971456
13-02-2020 21.14,Tcurran0,,1,0,0,#GE20 #GE2020 #Coalition #SinnFein #FF #FG,,,#GE20 #GE2020 #Coalition #SinnFein #FF #FG,1228064856106030000.00,https://twitter.com/Tcurran0/status/1228064856106033154
13-02-2020 19.13,DerryNewsNViews,oconnellhugh,1,1,3,"Whoops. #SinnFein getting found out already. ""All questions are equal but some are more equal than others..."" #SinnFéin #ShameFein #NoShame #GE2020 #GE20 #SinnFeinSUCKERS #youhaveallbeenconned",,,#SinnFein #SinnF #ShameFein #NoShame #GE2020 #GE20 #SinnFeinSUCKERS #youhaveallbeenconned,1228034383363410000.00,https://twitter.com/DerryNewsNViews/status/1228034383363411968
13-02-2020 18.43,BrianFlanagan1,,3,12,35,Micky says urgent action needed on housing. Where has #FF been for past 4 years? #GE2020 #GE20 @rtenews #rtept,,#NAME?,#FF #GE2020 #GE20 #rtept,1228026880068060000.00,https://twitter.com/BrianFlanagan1/status/1228026880068067330
13-02-2020 18.39,Ocionnaith,,5,4,14,"After @fiannafailparty's four and a half hour parliamentary party meeting today and specifically ruled out talks with @sinnfeinireland, party leader @MichealMartinTD has spoken with @rtenews this evening. Below is an overview of his key points: #GE2020 #GE20 @rtepolitics",,#NAME?,#GE2020 #GE20,1228025900639430000.00,https://twitter.com/Ocionnaith/status/1228025900639432705
13-02-2020 18.07,Ocionnaith,AdrianKavanagh,1,3,5,Interesting #thread on transfers and their impact in #GE2020 #GE20 from @AdrianKavanagh.,,#NAME?,#thread #GE2020 #GE20,1228017880148690000.00,https://twitter.com/Ocionnaith/status/1228017880148692992
13-02-2020 18.05,LeftistDad,,7,13,104,Can't see a government of FF/FG. The backlash against it would overwhelm them. And they know it. SF should lead a minority left government with a radical policy agenda and defy FF/FG to bring them down. FF/FG would suffer if they did. #GE20 #GE2020 #SinnFein,,,#GE20 #GE2020 #SinnFein,1228017389033390000.00,https://twitter.com/LeftistDad/status/1228017389033394176
13-02-2020 17.25,andyboconnell,,0,0,1,"#SameoldSameOld Sounds like the DUP UU UUP Mr. Paisley....""Nevvvvvvvvveeerrrrrrrrrr"" Keep going lads your just putting more nails in your own party coffins! 🤣🤣🤣🤣🤣🤣🤣 #ABSTAINERS #LIARS Politics will never be the same again! #GE2020 #GE20 #Elections2020 #wasters",,,#SameoldSameOld #ABSTAINERS #LIARS #GE2020 #GE20 #Elections2020 #wasters,1228007331264370000.00,https://twitter.com/andyboconnell/status/1228007331264372737
13-02-2020 16.13,MunsterSir,rtenews,0,2,3,So..FG and FF ignore the people yet again ? All SF have to do is sit and watch Rome burn and the political landscape of the entire country will be rewritten. Morons. #leovaradkar #FineGael #MichaelMartin #fiannafail #GE2020 #GE20,,,#leovaradkar #FineGael #MichaelMartin #fiannafail #GE2020 #GE20,1227989163254910000.00,https://twitter.com/MunsterSir/status/1227989163254910976
13-02-2020 14.36,RebelTVIreland,,0,5,9,"If the landlord parties block change we should become ungovernable. We will go French. We voted for housing, health, an end to inequality. If they don't deliver? We say go French. Protest. Strike. Shut them down. #ge20 #GE2020 #ireland",,,#ge20 #GE2020 #ireland,1227964890184370000.00,https://twitter.com/RebelTVIreland/status/1227964890184372225
13-02-2020 11.27,richwtalbot,,0,1,0,Sinn Féin topped polls on best social media use during campaign #GE2020 #GE20 #Election2020 https://buff.ly/3bzLaKz,,,#GE2020 #GE20 #Election2020,1227917085080210000.00,https://twitter.com/richwtalbot/status/1227917085080215558
13-02-2020 11.23,DailRat,,1,0,6,Plenty of activity in here today - Shinners scurrying around everywhere just like - well just like me to be honest 🐀🐀🐀 #GE2020 #ge20 #DailRat,,,#GE2020 #ge20 #DailRat,1227916247876150000.00,https://twitter.com/DailRat/status/1227916247876153345
13-02-2020 9.09,Ginosocialist,,2,13,37,Amazing shift left in Ireland. No better time to join the growing radical left. http://www.pbp.ie/join #ge20 #GE2020 #ireland,,,#ge20 #GE2020 #ireland,1227882549919260000.00,https://twitter.com/Ginosocialist/status/1227882549919264768
12-02-2020 22.14,jamescosullivan,,0,0,4,Howlin isn't the worst of them. Didn't agree with many of his past decisions but he is a genuine progressive. It's fair to say he served the State with a good measure of sincerity & dignity. Best of luck @BrendanHowlin with the rest of your political career. @labour #GE20 #GE2020,,#NAME?,#GE20 #GE2020,1227717631077240000.00,https://twitter.com/jamescosullivan/status/1227717631077240833
12-02-2020 22.13,stonking,ElaineYoung94,0,0,0,#Ireland #borderpoll #GE20 #GE20202 #GE2020 ,,,#Ireland #borderpoll #GE20 #GE20202 #GE2020,1227717303539610000.00,https://twitter.com/stonking/status/1227717303539617792
12-02-2020 21.22,robertcannonrc,ChristyBurkGE20,0,1,3,Hypocrite of the highest order!! 🇮🇪 #GE2020 #GE20 #RTEbias #Election2020 #cblive #greens,,,#GE2020 #GE20 #RTEbias #Election2020 #cblive #greens,1227704441450740000.00,https://twitter.com/robertcannonrc/status/1227704441450749959
12-02-2020 21.16,robertcannonrc,,0,1,3,"The leader of the ""Green Party"" driving a 2.5L Diesel van!! No cycling, no walking no car pooling, hypocrite of the highest order!! 🇮🇪 #GE2020 #GE20 #RTEbias #Election2020 #cblive #GE2020 #greenparty #SinnFein #SinnFéin",,,#GE2020 #GE20 #RTEbias #Election2020 #cblive #GE2020 #greenparty #SinnFein #SinnF,1227703023918600000.00,https://twitter.com/robertcannonrc/status/1227703023918604292
12-02-2020 19.43,StoppedClock1,,1,0,0,Why do Fine Gael get away with saying that they don't want to go into government but smaller parties get abuse for saying the same #GE20 #GeneralElection #ge2020,,,#GE20 #GeneralElection #ge2020,1227679522553810000.00,https://twitter.com/StoppedClock1/status/1227679522553810944
12-02-2020 16.21,PanelPowerIrl,,0,0,0,Brendan Howlin steps down from his shine box to buff the shoes of his Sugar Daddies. #GE20🇮🇪 #GE2020 ,,,#GE20 #GE2020,1227628915532980000.00,https://twitter.com/PanelPowerIrl/status/1227628915532980237
12-02-2020 16.13,thesecondgoing,,0,0,0,I wonder if #Ff #Fg #Labor or even #SinnFein will admit that the Irish government are still only a Provisional government? (Listen to the horses mouth here).#GE2020 #GE20 ,,,#Ff #Fg #Labor #SinnFein #GE2020 #GE20,1227626844767360000.00,https://twitter.com/thesecondgoing/status/1227626844767367168
12-02-2020 16.13,DeiseALLIre59,,0,0,0,Labor party parliamentary meeting yesterday #GeneralElection2020 #GE20 #GE2020 ,,,#GeneralElection2020 #GE20 #GE2020,1227626703255710000.00,https://twitter.com/DeiseALLIre59/status/1227626703255719937
12-02-2020 13.53,Leesider90,,0,1,0,Summary: FG won’t into Govt with SF FF SAYING won’t go into Govt with SF or FG SF need all other parties + majority of independents. Some of which former FF/Sf/FG Solidarity-PPP issue with Green FF and FG likely get majority Seanad #IrishElection #GE2020 #GE20 ...number 2? ,,,#IrishElection #GE2020 #GE20,1227591677805760000.00,https://twitter.com/Leesider90/status/1227591677805768704
12-02-2020 13.05,PanelPowerIrl,MetEireann,0,2,2,Looks like Hell is freezing over while @sinnfeinireland seeks to form Ireland's inaugural left-wing government.🤣 #SF #GE20🇮🇪 #GE2020 ,,#NAME?,#SF #GE20 #GE2020,1227579458594450000.00,https://twitter.com/PanelPowerIrl/status/1227579458594451456
12-02-2020 10.39,PanelPowerIrl,RT_com,1,0,0,Juan Guaido in #Venezuela is more popular than Leo Varadkar in Ireland.🤣 #JuanGuaido #HandsOffVenezuela🇻🇪 #GE20🇮🇪 #GE2020 ,,,#Venezuela #JuanGuaido #HandsOffVenezuela #GE20 #GE2020,1227542752642160000.00,https://twitter.com/PanelPowerIrl/status/1227542752642162689
