date,username,to,replies,retweets,text,mentions,hashtags,permalink
18-02-2020 18.37,Nc1908Neil,brad_jamin,0,0, Why are Irish #politicians silent about #GeoEngineering ? @pb4p @bridsmithTD @RBoydBarrett @RichardbrutonTD @1Hildegarde @wallacemick @paulmurphy_TD @MaryLouMcDonald @PearseDoherty @ClareDalyMEP @SocDems @greenparty_ie @CathMurphyTD @davidcullinane @MichaelHealyRae , @pb4p  @bridsmithTD  @RBoydBarrett  @RichardbrutonTD  @1Hildegarde  @wallacemick  @paulmurphy_TD  @MaryLouMcDonald  @PearseDoherty  @ClareDalyMEP  @SocDems  @greenparty_ie  @CathMurphyTD  @davidcullinane  @MichaelHealyRae,#politicians #GeoEngineering,https://twitter.com/Nc1908Neil/status/1229837247916187649
18-02-2020 18.35,Paudi04,edel_leahy,1,0, There's a park and a beach a stones throw from the development. How are you protecting air quality and the planet by extending the commuter belt? ,,,https://twitter.com/Paudi04/status/1229836807421952000
18-02-2020 18.29,AdsAdrena,edel_leahy,2,0, Ok so i live in the area and use the park but the development is not in the park but on land sold by the school on some pitches beside the park. We dont have enough housing and the country voted for change. Not sure this is right battle to fight. ,,,https://twitter.com/AdsAdrena/status/1229835391630553095
18-02-2020 18.15,TheKreng,edel_leahy,0,0," @RichardbrutonTD did nothing about the grabbing of the public green spaces, pathways, and highways in #Killester either. ", @RichardbrutonTD,#Killester,https://twitter.com/TheKreng/status/1229831864694845441
18-02-2020 18.03,edel_leahy,Helinhandbasket,0,0, Same. It’s just terrible and what’s worse are the accusations of nimbyism and snobbery. It’s everything that’s wrong with society💔 ,,,https://twitter.com/edel_leahy/status/1229828803884654595
18-02-2020 18.02,Helinhandbasket,edel_leahy,1,0," Sickened by this. Our beautiful park will be ruined with noise, pollution, wildlife displaced, biosphere damaged. Complete disregard for EU wildlife habitats directive. FG, the developers friend. 😡 ",,,https://twitter.com/Helinhandbasket/status/1229828531787587585
18-02-2020 17.37,BaldoyleUtd,,0,3, ⚽️ 2 days to our MID TERM CAMP. Register today: https://bit.ly/2V8Fhyp 🏐 Boys/Girls age 5-13 @brianmcdonagh @MayorEOB @OCallaghanCian @sean_haughey @RichardbrutonTD @AoibhinnTormey @davidhealyv @alavin1 , @brianmcdonagh  @MayorEOB  @OCallaghanCian  @sean_haughey  @RichardbrutonTD  @AoibhinnTormey  @davidhealyv  @alavin1,,https://twitter.com/BaldoyleUtd/status/1229822203262316544
18-02-2020 15.47,SubZeroCarbon,,0,4," Grass roots climate action workshops. Tonight in Ballina is on biodiversity and water quality impacts, please like, share @Dept_CCAE @DeptRCD @MayoCoCo @GalwayCoCo @GalwayCityCo @GalwayEnvNet @forum_wetlands @RichardbrutonTD  ", @Dept_CCAE  @DeptRCD  @MayoCoCo  @GalwayCoCo  @GalwayCityCo  @GalwayEnvNet  @forum_wetlands  @RichardbrutonTD,,https://twitter.com/SubZeroCarbon/status/1229794460650831873
18-02-2020 15.34,ireland_better,newschambers,0,0, Good to see. Spot on @RichardbrutonTD @FineGael , @RichardbrutonTD  @FineGael,,https://twitter.com/ireland_better/status/1229791405847044099
18-02-2020 14.52,thombo1987,HillCurly,0,0, Or i'd love to move myself to 🇭🇲🌞🏖 ,,,https://twitter.com/thombo1987/status/1229780739899695105
18-02-2020 14.10,loc8code,loc8code,0,0, culpabale negligence will be attributed to your failure to act @RichardbrutonTD @1Hildegarde @eircode @Dept_CCAE if you dont warn people about this recognised problem which is well documented to you if it causes risk to life or worse! @IrishTimes , @RichardbrutonTD  @1Hildegarde  @Eircode  @Dept_CCAE  @IrishTimes,,https://twitter.com/loc8code/status/1229770263266504705
18-02-2020 13.23,edel_leahy,dromdrom,1,0," No nimbyism here I’m afraid - I don’t live near the proposed development, just think it’s a terrible decision for all sorts of reasons like protecting #airquality and the planet we live in to name just two examples🌳 ",,#airquality,https://twitter.com/edel_leahy/status/1229758355268390912
18-02-2020 12.54,HillCurly,thombo1987,1,0, Or move the polar bears here! ,,,https://twitter.com/HillCurly/status/1229750966670569472
18-02-2020 12.50,edel_leahy,brian_dowling,0,0, Shocking to say the least. Shame on all who’ve let it get this far! ,,,https://twitter.com/edel_leahy/status/1229750056716206082
18-02-2020 12.49,brian_dowling,edel_leahy,1,0, Might as well build up along the Avenue at this stage... maybe the playing fields on the other side also? Terrible result for all.... ,,,https://twitter.com/brian_dowling/status/1229749764205502466
